Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence
ODD+game_stuff,DeepSeek-R1,run_01.md,1,5,Upstream-Downstream Water Allocation Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD+game_stuff,DeepSeek-R1,run_01.md,2,22,Common-Pool Fishery Sustainability Dilemma,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
ODD+game_stuff,DeepSeek-R1,run_02.md,1,5,Water Extraction Dilemma with Ecological Threshold,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD+game_stuff,DeepSeek-R1,run_02.md,2,28,Downstream Fishing Priority Dilemma,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
ODD+game_stuff,DeepSeek-R1,run_03.md,1,3,Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD+game_stuff,DeepSeek-R1,run_03.md,2,24,Fishing Rivalry,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD+game_stuff,DeepSeek-R1,run_04.md,1,5,Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD+game_stuff,DeepSeek-R1,run_04.md,2,26,Risk-Driven Irrigation Expansion,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
ODD+game_stuff,DeepSeek-R1,run_04.md,3,51,Max Fields = 10: Strategy sets reflect field limits (§III.iv).,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
ODD+game_stuff,DeepSeek-R1,run_05.md,1,5,Water Allocation Dilemma between Upstream and Downstream Farmers,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD+game_stuff,DeepSeek-R1,run_05.md,2,25,Lake Water Threshold Commons Dilemma,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
